governorId,type,address,name
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x76f54Eeb0D33a2A2c5CCb72FE12542A56f35d67C,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x8E4ED221fa034245F14205f781E0b13C5bd6a42E,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x683a4F9915D6216f73d6Df50151725036bD26C02,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0xe02457a1459b6C49469Bf658d4Fe345C636326bF,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x8962285fAac45a7CBc75380c484523Bb7c32d429,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x88FB3D509fC49B515BFEb04e23f53ba339563981,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0xb55a948763e0d386b6dEfcD8070a522216AE42b1,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x553F674dD7D102ad79C644103974a1cc53b62Ac2,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0xbbf3f1421D886E9b2c5D716B5192aC998af2012c,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0xB0623C91c65621df716aB8aFE5f66656B21A9108,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x8d07D225a769b7Af3A923481E1FdF49180e6A265,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x6626593C237f530D15aE9980A95ef938Ac15c35c,Uniswap
eip155:1:0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GOVERNORBRAVO,0x067b9Bbbbc42d2AB9b9Ab6bB62646dAF7F344A76,Uniswap
