address,votingPower,tokensOwned,blockNumber,previousBalance,newBalance,difference,delegator,fromDelegate,toDelegate,transferFrom,transferTo
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15617249,15000491448901063471547799,15000491648901063471547799,200000000000000000,0xd2E18B1137Bf8cc100e8E6019AB7e9d58f773c15,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15665992,15000491648901063471547799,15000492655047331524186120,1006146268052638321,0xc64284527B04A48c6673dF62f5B48188Ccfdf658,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15667319,15000492655047331524186120,15000491455047331524186120,-1200000000000000000,0x4ee0b41FB8460F7fB7761EE83c7de8b02780A232,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x4ee0b41FB8460F7fB7761EE83c7de8b02780A232,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15680246,15000491455047331524186120,15000491540047331524186120,85000000000000000,0xbB3655563F51737787474Bb7A94B596c0AD91246,0xbB3655563F51737787474Bb7A94B596c0AD91246,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15707880,15000491540047331524186120,15000485009122442469046005,-6530924889055140115,0xE3Fb6f270c517E4899D3c2040284b35fE3917f60,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0xE3Fb6f270c517E4899D3c2040284b35fE3917f60,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15721543,15000485009122442469046005,15000484909122442469046005,-100000000000000000,0xBd91Ed15A05372A1FA9F9dc472c7506Ae946fd8B,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0xBd91Ed15A05372A1FA9F9dc472c7506Ae946fd8B,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15722750,15000484909122442469046005,15000498891481371305847343,13982358928836801338,,,,0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,0x4b23137fe351970A3344F111b177483C549Cbf80
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15722790,15000498891481371305847343,15000484909122442469046005,-13982358928836801338,0x4b23137fe351970A3344F111b177483C549Cbf80,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x76f54Eeb0D33a2A2c5CCb72FE12542A56f35d67C,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15722809,15000484909122442469046005,15000498891383328987487144,13982260886518441139,,,,0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,0xa5e86334BDFF7D36CDc26cd24D04aD17909045fD
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15722851,15000498891383328987487144,15000483909122442469046005,-14982260886518441139,0xa5e86334BDFF7D36CDc26cd24D04aD17909045fD,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x76f54Eeb0D33a2A2c5CCb72FE12542A56f35d67C,,
