address,delegator,date,voting_power
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x3452...e93e,2021-11-11,1.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0xC478...168E,2021-11-10,1.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0xc7bc...159C,2021-11-09,1.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,yohantan.eth,2023-04-02,1.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0xAdeA...d4d0,2021-11-11,1.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,iamdeeply.eth,2021-11-05,1.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x36933.eth,2023-03-24,1.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,arnaldo.eth,2021-11-05,1.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,74608.eth,2023-02-11,0.52
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,32521.eth,2023-02-11,0.5
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x5593...d286,2021-11-11,0.5
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x9318...F02a,2021-11-11,0.5
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x3C9C...122b,2021-11-11,0.5
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x70eC...0e8C,2021-11-11,0.5
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,Hodler_David,2021-12-09,0.42
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,donaldduckland1.eth,2023-04-08,0.4
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x301A...9436,2023-05-20,0.35
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,plnty.eth,2023-04-08,0.25
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,strwr.eth,2023-04-08,0.25
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,karaage,2023-04-22,0.22
