address,votingPower,tokensOwned,blockNumber,previousBalance,newBalance,difference,delegator,fromDelegate,toDelegate,transferFrom,transferTo
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,12610145,0,5532461000000000000000000,5532461000000000000000000,0x9c980d9E5C46eAf6C1E7dDd2dCD30C1FcD9875d7,0xA13a5a31b891F3DA7074b740B694769BD0f1bb23,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,13096633,5532461000000000000000000,7032461000000000000000000,1500000000000000000000000,,,,0xa51632ab150336D77Ed8b3D4B107dFaeDd223B23,0x9c980d9E5C46eAf6C1E7dDd2dCD30C1FcD9875d7
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,14512329,7032461000000000000000000,7032463858501351308373274,2858501351308373274,0xA92A40457E419c5EC245A646da09112cDcC6cfb6,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,15342017,7032463858501351308373274,7032461058501351308373274,-2800000000000000000,,,,0xA92A40457E419c5EC245A646da09112cDcC6cfb6,0xd3d2E2692501A5c9Ca623199D38826e513033a17
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,15373797,7032461058501351308373274,7032861058501351308373274,400000000000000000000,0x8081CdA50298be5983189F43882Bd7a9990b3fD8,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,15660002,7032861058501351308373274,7032862709046705583648284,1650545354275275010,0x98ead1ff705EcC4e9027D6Bb020C1C365778c662,0x98ead1ff705EcC4e9027D6Bb020C1C365778c662,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,15767455,7032862709046705583648284,7032862711046705583648284,2000000000000000,0x34F9C0B11e67d72AD65C41Ff90A6989846f28c22,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,15767556,7032862711046705583648284,7032862735831425082270920,24784719498622636,0x6798f75bbc9680b33b9D0660C65F8732a9369cC5,0x6798f75bbc9680b33b9D0660C65F8732a9369cC5,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,15986672,7032862735831425082270920,7032867735831425082270920,5000000000000000000,0x2c6b0936088C79dc747F0FAf7F2D951Eb725ac0D,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,16080052,7032867735831425082270920,7032868034349871892409069,298518446810138149,0x079CB50A38e4A9b7AF49adA16201D00c25Ad965F,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,16080092,7032868034349871892409069,7032868248276597724785514,213926725832376445,0x579751636Aeca8Df615D534A0ce512d247F4c255,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,16080106,7032868248276597724785514,7032868463260908521864297,214984310797078783,0x917549789757E442083fA3b617955bBb78027408,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,16080124,7032868463260908521864297,7032868678345412188423552,215084503666559255,0x5aCD51FFc4318e6ef09075655E89C177d12be10c,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,16080136,7032868678345412188423552,7032868894577028721955679,216231616533532127,0xa71A5cCA33219E2aB0A755a06BDB56362B7f9042,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,16080155,7032868894577028721955679,7032869111785493752562684,217208465030607005,0x401835554EAbB3B676ce8B0E8B6b066543aD7DA1,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,16080183,7032869111785493752562684,7032869332523203052460285,220737709299897601,0xd6595AB8D76f3e44c1c80b6c64Cf721948C9cE0c,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,16080189,7032869332523203052460285,7032870332523203052460285,1000000000000000000,0xC09C4E76f01260F16428a34A03C431b051002424,0xC09C4E76f01260F16428a34A03C431b051002424,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,7033011576034935433544893,0,16080215,7032870332523203052460285,7032870552418455223363953,219895252170903668,0xbF1bbe16264768A83deC840DC35e2E4E33d7cFF8,0x0000000000000000000000000000000000000000,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,
