address,votingPower,tokensOwned
0x3Ed85633C78654A66bE13cDFC4e67DC4a8A1ee19,178880752909083000,178880752909083000
0xB5B5274EA1e8d1B1530a6abE277D92bAD15Bd13D,178781971984780946,178781971984780946
0xCfe8814d775701eEF4FDcAd0165f339f1B48b015,178740174140599780,178740174140599780
0x6d079B1321F786fc8da281cDc28Fff3c95eAed32,178291035171717381,178291035171717381
0xc60D2Ad917E3f78A8E17f2AE21B14aF8Bd82ac16,177776939076939140,177776939076939140
0xe3A2755C21E8CbcF6bE0E748BEB711cc7878775B,177722938126056030,177722938126056030
0x6e4De06303632466ac324cc89aCCf43e1c9D7959,177682231660199777,177682231660199777
0xbb86761BF8741af844a5df5925a0F5A9074F45dB,177600000000000000,177600000000000000
0xdbC13698A766B5D1f411dB58220D350e7968b849,177414321387608884,177414321387608884
0x034323bE0071dF43BC7c1afeA5A2a665F5F4CA96,177366049132042688,177366049132042688
0xadc83194a3b8615e2a7b7456F5972c50E711b6aE,177338918656892540,177338918656892540
0x371D352fCb33D1C5804D43Cc70482C4C8F13151e,177302402177140421,177302402177140421
0x36A2f52164f482658857357fd538d0514b572310,177248644594104511,177248644594104511
0xC5Ba2B86292a73830CfE7619f24f4FcaB66E398b,177238713350440000,177238713350440000
0x6922A57685a5DB8B07a7dbA920dCDC51ba5A18fc,177232904040098591,177232904040098591
0xAd216464398c3822F452237c0F9549256AFdE988,177181502630161510,177181502630161510
0x8302EaB7bf84614EeA2515e6592974a05e97C873,177000000000000000,177000000000000000
0x8F2Feae342f5219b44AC36F3Cb837E53C5179B7b,176807699672047917,176807699672047917
0x80C5831A12fe013643b36d3Af20822D7FC75C214,176786724194069572,176786724194069572
0x69F15e518fD3cea7bafcC869b1f85Bda7e224C2C,176748952528255467,176748952528255467
0x98Bff1388e1093919Da103B223BBe385DC021ff3,176743790023501567,176743790023501567
0x52542FfC9120723Ac5BD1E7b6B2DA9b066621Ae3,176536868543660404,176536868543660404
0x079a9aF5a1D56Da42F8e3DC578b810876A1E0c6a,176511190284259669,176511190284259669
0xBa41DA4bfd359CAE93Cd9926Fc99F06E19094bb3,176493599444283750,176493599444283750
0x55eb0d7005bc4153ec6102b00a9211a8025759d3,176406445112760020,176406445112760020
0x20897a7D7e7bdC6Fd1245561Ee2214D47EdBeff2,176363938105088320,176363938105088320
0x5e6fDD6457c4D6B853fd091d360BaC11E099eED3,176300404095293280,176300404095293280
0xB56a3de9A2040BE3D6457D82a70478B1802a289b,176000000000000000,176000000000000000
0xb058c9d0500F2DBf41d6697CA351cDDB85F53067,175993253951795720,175993253951795720
0x90DBa8FFb1b64Ef5c2DcC8A3cC33231C796949B0,175962205643223244,175962205643223244
0x954C0440151A0bAeB0E99BF0ac092f4eDf597e10,175960000000000000,175960000000000000
0x888a450F399f5CDf573E91f40B9a5a4b34AC2Af4,175731457524622092,175731457524622092
0x388a71d91BAFE0915CE892EF65293a339EF91A1d,175620892530965062,175620892530965062
0xe1F7E15F3baFE9e2b999bA0758a5238De25113C0,175560077424721054,175560077424721054
0xF4c5c637417116E8Ad1A0f5A9E8BE1acBe5d64AF,175542144937829696,175542144937829696
0xF2efB5C78AD7fa6186a6Dd7b444a774d64b528D0,175365943834247433,175365943834247433
0xdD7E61Db44AC21275D52053775B57CBd7723d770,175270993622109548,175270993622109548
0xd5388a8d507784e95bb712efD3e20847F520463D,175182592740311923,175182592740311923
0x57962fE276dbe51A45c9afF824Ca5f72BD9a5379,175158825018101312,175158825018101312
0x050E854BbB5D7C8eCFE9e972d7043d2C4E13707E,175157416080055800,175157416080055800
0xB3D7355A01B18490f2F6479f280038C1b21Fb1F1,175000000000000000,175000000000000000
0x203bEA6A50e9B458fCB36C34CFE89D0743e34dC6,174636890229635307,174636890229635307
0x4561A6254BD320AED4FA940195192eE33c293010,174600000000000000,174600000000000000
0x3473bAD1Adf5122e158460c8871dAd66ca3923c5,174410392345583679,174410392345583679
0x045855522829A8FBAb5633DA81aa34A7B87aEd03,174320000000000000,174320000000000000
0x89E3bC6561b2F1Ac7ccbb1B71557854F9689135f,174296586472679813,174296586472679813
0x83E8DF8ddf3cd5b51caFFB337B321467225d4650,174120000000000000,174120000000000000
0x5dCa7bad26550B04A2D6911BA64Bb7E7bDd67787,174084603218310873,174084603218310873
0x4aD5F2F80320085176E93ab75692c57778C95C71,174019362871158222,174019362871158222
0x955a279bF6772E388F8AC47692e607Aa6b2755C6,173980651580742656,173980651580742656
0xBd83e24aDbaf7C481f842B5f2f46Ea4E8b69AdcD,173861010085437560,173861010085437560
0x59Ea96e34e20FeC4d034CA460C24baB8112d98A9,173674494000000000,173674494000000000
0xda565cb6ab11487AC85ef4CAB0c40A9d744ECf7F,173662134875792350,173662134875792350
0xC42C5AAf5B1A144c300155576D29FE049C99c87c,173638879924735750,173638879924735750
0xaE8b196a68e030166BED225Fd413E3Fd759C73dA,173605468100000000,173605468100000000
0x2BAF8f61F15BB1c23403c9b48C365ad6f488ed16,173597831811476241,173597831811476241
0xedd0e06C2351Cf2a2F0F4D96803dBBf75ceEBB67,173539745078831081,173539745078831081
0x3Db972fB2E669a5F2abfa828f746F36786c8EA45,173301971901269778,173301971901269778
0x9675F5EB371be7DdceAb4f81Caa62002aBAC82Ea,173110723913409021,173110723913409021
0x8278fB5A3BE744b65541B648556e979f9a0D6bA3,173000000000000000,173000000000000000
0x981c1047088b6BDa9eaA874fCf2487567fd0f073,172829840929367256,172829840929367256
0x5f4148DfFca80f4C66C65D2A3c0d3342f20a313B,172829352600787874,172829352600787874
0x8e924908C75F0B05357558358191e148a321853a,172821907108871437,172821907108871437
0x3d0D8fA8cAC3a4602cBdc9A3F5772B0E114d861A,172551029542978998,172551029542978998
0x5cE85333629faB27114053E38F55B6e1a3281b92,172336748236063420,172336748236063420
0xC720aAd5b91dc6661d3EA32dDEA7E11003A0C12f,172242978169207053,172242978169207053
0x35a6B800aA47aDd6fA1f8bEaEDcEB4343Ea32e34,172075208497433903,172075208497433903
0x3e7540e27dFD3F31C8645990C3C421Fa621c0c97,171963551850614438,171963551850614438
0x3F32F6E787e4B6F92e91e1123FE2B8Eca41E9EAF,171733542701517700,171733542701517700
0x6c98F152eA0D70F634392E5ef85405eBFB6aAcD5,171710747005555620,171710747005555620
0xA771D6e5948Aee9580C87fcD5B33143052D1e400,171626834406404315,171626834406404315
0xc589F098288b3f88daC07F268Ac48Bb69b9b2FAC,171613840967831250,171613840967831250
0x5779cE92BFD7669B54573C2A6D3afC6f407Db69F,171564073118631300,171564073118631300
0x648f65dcdf221c061C82C293AD6eD36991CAD562,171524209459477622,171524209459477622
0xAE33D14B1EC113fF2E11AC3Ca270B2934EF47d79,171469896103233675,171469896103233675
0xCa7C744CE6550bCa62e37Ed0102Fd3C779b3C071,171354410777595478,171354410777595478
0x5b933bb8f7dCb0a320267b523473698aD632763d,171035170000000000,171035170000000000
0x286271F72331bd59A2D265605dBDD6709DF9699f,171000000000000000,171000000000000000
0xC8ED23303717CacBF6AbB405470B01Dff9F3466b,170888644950445630,170888644950445630
0xd8F51cFE40D31532A828016F1CD4e40eEa74Fcc2,170870000000000000,170870000000000000
