address,votingPower,tokensOwned
0x50DbB8955F220f7cF1CECFaae30E6796AFE90156,6632999692401774532,6632999692401774532
0xb89B7a0D0cDfa6Be61FF0f7AAC72568e10C216F8,6600000000000000000,6600000000000000000
0x3155974C04340F8dD1a81aD8101e85cfDCB975D8,6600000000000000000,6600000000000000000
0x9e93Ea0C2C8FE385aF25f2A18d9cCEC2D4fe953d,6599234572236056498,6599234572236056498
0xbd78d90C02c74527c88e81Eec8541B32Dd9fa653,6596105459292484141,6596105459292484141
0x28AD8E41F950568C6eB15e8426c9760b80BEcaFE,6591253569019902151,6591253569019902151
0x4C8D3Ee453BAC3e4B28bD6019fa6cd6b03F58792,6590076712258371115,6590076712258371115
0x72366fF5f118a795062A3B425a27BC09941a620A,6584828000000000000,6584828000000000000
0xAA08ACf057bbF1aC1658B867890B4f988675E534,6581294991095051209,6581294991095051209
0x690A34f9E3D80564E12227277ce97e8331479C5e,6573620090779418466,6573620090779418466
0xe4A77604802EE95603EC22CA0e4EBF981F6134a3,6571808798370426887,6571808798370426887
0x827c7EBE999f108c367C57c98C88E7FdF221a49C,6569863382566893568,6569863382566893568
0x5eBE746412aa7cdbc80577f40E3D33e7F5Ec6359,6568118193981095263,6568118193981095263
0x647Ac0297244A40d4379aCB59F722143Ee9Af823,6565141359697561308,6565141359697561308
0xCB6201C2AFB028A5f7F71B1C0d3F88137c2Ef1CC,6562420163562575872,6562420163562575872
0xd38A313b77EfD905ca6259Db3FB463D3204840B3,6559779250000000000,6559779250000000000
0x6460FbF8b5ea993D609Ab49aEc8d9Fe0D72Bd241,6540974200000000000,6540974200000000000
0x63346d7367D4bA9cd1FF45d7B900B32EC4f73D5e,6532755204707689820,6532755204707689820
0xE3Fb6f270c517E4899D3c2040284b35fE3917f60,6530924889055140115,6530924889055140115
0xD2602C7bDFC9F413974e944280BbFae275d1B1b6,6523664367541076200,6523664367541076200
0x48cddC4602Ad1B30C25484F345e9288DeF388bDF,6510000000000000000,6510000000000000000
0x13711b99539d2860AA740c0180A50627d538c28e,6508743798398188268,6508743798398188268
0x512cF666d6eA7A526f1A9B701D0c2dC4184A41F0,6501077662352303000,6501077662352303000
0x0961FbF03906D3BD5012D3265bc8B11AfEEC22E0,6500804024828237557,6500804024828237557
0x26b86cccfc0A1A3AA72D47bE6b0C069488AEDdF1,6500000000000000000,6500000000000000000
0x68bbBb2147cF0fA3310aA3BeCE4B9A114bf04f67,6500000000000000000,6500000000000000000
0x9c055b935F8698593533f85C9c785482d4E35f13,6500000000000000000,6500000000000000000
0xE1e6E8cF8d864Ab5a1AAf7AFd386E15392d8A3D8,6500000000000000000,6500000000000000000
0x702b65C57EBd3E4426e723bda52FF2D08C71306D,6499499316468416057,6499499316468416057
0x0D5901ECAD0BC8786a9b6fa53A19CE465CcBA199,6490007045855242555,6490007045855242555
0x2Ec7ACEF0ff3719cf104e349a0508B0AF46264E0,6488563440000000000,6488563440000000000
0x4f8f45e3EDEe8ad7b78f554632942649519b6C9a,6480198980000000000,6480198980000000000
0x5c76cBB2600f3247a1cA3DD206686BD54f1980cC,6476532019867056424,6476532019867056424
0x5239f5f25a91Bd29B3c3c1858Cf531eBeeE8D289,6453326809021861000,6453326809021861000
0x2a487936A966b7B730869fcAf273a628BAd19C8d,6440837597407479005,6440837597407479005
0x22Bb30b687EB9E86906CC5cf21E04A1C86819A99,6439900000000000000,6439900000000000000
0x994Cf01f34c51426bCB12bD30Ff7079E280E1140,6434327429203731344,6434327429203731344
0x9D8b6e42eA128FE68577F2cDe22c48250a82FfbF,6423796630000000000,6423796630000000000
0x4C35148C8b349e6F1CE5316Fa6EbEB39eEb0b6bF,6410576131747648917,6410576131747648917
0x54f61F68d26fc7E6104C6d673021FD6E3Db6fBB1,6402454022343178198,6402454022343178198
0x5c53218695fCe54EE151a8F74169fD722d3bb50f,6390000000000000000,6390000000000000000
0xbE62d6e65aE91eaF9896fa6E61CdF32893557EB4,6388017882265479507,6388017882265479507
0xC8EE11f44AF55F2A702e319C625eC725Fcb98A3f,6355595090156302064,6355595090156302064
0x061bE5E2e3BfefFEAfD7e62CFE16E5F3Dc09a18e,6350000000000000000,6350000000000000000
0xc06a6B37f1F304aa57822291abD6a4C2B5f0748f,6333391865001945088,6333391865001945088
0xDa49A05BF6c88E16181dC4F7c4A01b1f58a84596,6331852837703047923,6331852837703047923
0x2F0104AEbef743C680376F31960EeD969dB9ab33,6327048864761377925,6327048864761377925
0xc09a20d5b5D1c2aad411d0116Df665B746aD15C6,6316081231393986951,6316081231393986951
0x360BF29aA612951f04663b47c9e209C8b8428cB7,6309598266199137000,6309598266199137000
0xaD1CE0e2391bEaB531343FEbf9c63a7e60Dc3c04,6297800000000000000,6297800000000000000
0x5f2b5A5454E04ad2394B2adD2f176F7Ccc22cCE9,6293785716696147762,6293785716696147762
0x0FD955d29d88a2B7258f8b364cdFE36C2996438A,6293248737951310133,6293248737951310133
0x170e7ebF8E7D0f400806a22254DA9759c635962F,6289719664843672576,6289719664843672576
0x66C6bc1f91D721B0D588eEEcf0E4Ff9784B4Fcae,6285261374875306189,6285261374875306189
0xb1E4084CA98AA4d2560AD3b33A5028C51c7A123a,6276570986021117630,6276570986021117630
0x12Fe20De6b441F18BA9a3C9A7A78C9BD16723E8d,6258809160434566586,6258809160434566586
0x8cE0e1DEd53387BbD84cd0c01114Cd7eAEdb5a11,6256562424907240479,6256562424907240479
0x45349a412DEe632EdA4277E535020E7643d58D93,6256012595900729000,6256012595900729000
0x1415f4F436eE87CD1e839F281ba248794d33e921,6241862168245115560,6241862168245115560
0x0D2349e291A9e0Bb755bFFA4097E6D378A72330B,6235624777774212194,6235624777774212194
0xad9083c6CaDc572988eFB604a87E86F8dE205BdC,6210000000000000000,6210000000000000000
0x21D61031606f067B16d765098c68acaE147c023C,6209495465346088508,6209495465346088508
0x0F7c548C3c100e1AD6A1F092D95884Cc4dCEf4bB,6207041597487210899,6207041597487210899
0x0E5Df3eEd031cb503c8bAa1b55aCE3EDFAA096D5,6200284904019492311,6200284904019492311
0x328ca8f95Cd62a07E10343c2Ea41268A5D1c99ea,6200000000000000000,6200000000000000000
0x6e543Fd8a391fCe4514f31EeE7CD48889437aeA3,6197066239138214132,6197066239138214132
0x776526bfd86F58Fa0f963338ced6D5944eFae504,6190000000000000000,6190000000000000000
0x6B1009E2bb8EE7F36c21f5f38F4f25f1b79BC02D,6186784101183400008,6186784101183400008
0xFcd030B9196eaf71Ff364c8a38ad2A6e6BF279fF,6185002828512000000,6185002828512000000
0x64cf10538E34B6D0F6f58A06311D130415cE10EA,6178331350000000000,6178331350000000000
0xe849b5Bd1fB9855311540A790374336D09c3F18B,6171013501656353395,6171013501656353395
0x09EB3751e90918ce1AF445De746d08882530C302,6163211542602530000,6163211542602530000
0x8241D2C5b1C5cD4f4B5551A3FaF846Cd841E9188,6153666416392578000,6153666416392578000
0x9D528BA0FFc7e83CbDD4Fb21d0D369C51F0cAf55,6146734649756491956,6146734649756491956
0x5aD297fC3159740A1671EDF2E7013d1391436A7E,6145736914086182880,6145736914086182880
0x4676F82bE050313Dc94378DC15c09eFFEda6CaE7,6138877351208118340,6138877351208118340
0x0AC8389C2249881eD7bbE8e4fa8f1aA55e05ab6A,6136000000000000000,6136000000000000000
0xdfC12a7746eC660C6AB647Ce98A9fea0f53817d2,6126206667678396171,6126206667678396171
