address,votingPower,tokensOwned
0x1995047D4e390E631838780aa4F1818Faa647eAF,386448373912384753,386448373912384753
0x347Bb83E4ab465C8C6b7afaB3BEB373410A9Cae2,385980280193548820,385980280193548820
0x7eCb2bE93D804f0723a8B3B601504e92e3098323,385728659645650036,385728659645650036
0xb28700f54d55a2C5aBE6bE8cfDa25192B2e12B37,385700546484932435,385700546484932435
0xBA715566ebB933102651465B02e8dBa50B29DD43,385384633958358283,385384633958358283
0xF7E49A598F95B43d7D0f62938C851370a2FFFb5C,385268513488717974,385268513488717974
0x0966345D33C1e0Fe0f90f9ad5A1992a16a9D2Ae3,384207934235901399,384207934235901399
0xe9A6d326E01759D018F6F599a662EB05Cf72dAd6,382355480589128942,382355480589128942
0xc78652Eae0b73256F0598ddDA47B6814B23a8D8F,381260128310112479,381260128310112479
0xa63859b66F63A36Fd114B3fAEdE1e117Ce5351da,381045770678674800,381045770678674800
0x6BdbD013B9E6D3D669A5C33673911AF794E92C58,380240186474772532,380240186474772532
0x991830f69550dECCE9ECd73e85D26BA456D57132,380000000000000000,380000000000000000
0xEE8082AD1b571e22096858495a31621f8d7bCB8a,380000000000000000,380000000000000000
0xb31cD8f2e5208ecCF9652286d4624115410F0B99,379380946403773500,379380946403773500
0xCc3fd391414BF8F902726d465D2286ffDFF91794,378899915666143095,378899915666143095
0x2EB07df1aa8c13e0d02E8Bf36128E073f3d32428,378044146630522475,378044146630522475
0x5fF14399Fb9177c371e07161691CE4A7D3d52322,377525668702350460,377525668702350460
0xB87A47DD00B3cbCE30646837C34350359A6DD9ef,377494902482146560,377494902482146560
0x8c833A6c7f2ace55D283b3b52Edb39EfE67932E0,377042223431192434,377042223431192434
0x4A56a7439580657891a35eE5a9f2096186c4fcbc,377041874668001106,377041874668001106
0x2B5eF7f8D42feB86ba3d4eEC6e325eC314105f29,376624133358632260,376624133358632260
0xeB06Be198c0Bc5c2cB3e60db03932FEd261d611c,376000000000000000,376000000000000000
0xAf4b67fDBe09451f55113F95D2fCB56324dd2599,375312269920575690,375312269920575690
0x923A7E2919a5a3cB71995F9677d10A6B34eb7049,375234270601038369,375234270601038369
0xc488B705640cFBBa5bb24C72e4B76B61fbD06288,374006820968275500,374006820968275500
0x71fFC30e46834DEb2Da71812B245088A3BfbD481,373554727038510200,373554727038510200
0x268703Ed376f7Ef210bBa3A8C4bc7B75AD63C630,373425062279637657,373425062279637657
0xa6048FadbD9628E8F4aBF02069240A43755cd237,372755023523232500,372755023523232500
0x0a4B0B3cffeCC2C4775066d2A630bE154147AE15,372659052778732200,372659052778732200
0x9cD7D1981B3e15a2DEE4d512ac60E0579Ae18546,372400000000000000,372400000000000000
0xe510800dC2156C2071A65Ee3Aa38C636067AA82B,372352011069173046,372352011069173046
0xCd1a438eeb39D5f716792F697dCBBcef9c9552D1,372279654630166276,372279654630166276
0xD639F6BAA13206FB158EDf8Bd2400f339Fdbb11A,370888029782310470,370888029782310470
0xe48425358440Dc6c06A5d4C098fFCA855901A61a,370000000000000000,370000000000000000
0xB5605C8ACca945e3A2F0885ffB686459cb4D45d5,370000000000000000,370000000000000000
0x5c23c2b0ECdC1162ac0A43E0a58C81A7B1693ebF,370000000000000000,370000000000000000
0x617fB4535c1a7512c7925ce9e3ba31933B2AaF8A,370000000000000000,370000000000000000
0x4EDeBCfBBdE611D8b93d66c86eba9a84cEFAc4Da,368970220658863170,368970220658863170
0x6aD6166DCF95B9fdAa7184b219acd4d4C8eBCfb0,368401643814728300,368401643814728300
0xcb3d1f000203b3c39546834dc60317175a3A0eF6,368155497808775468,368155497808775468
0xAD32bA85d2C628CFD559f2Db2DF59039C2bEb939,367724076526174200,367724076526174200
0xdbD05ec898cb3b79651c5c6A994C89430b2b2E36,367428493450114490,367428493450114490
0x9AFBd3C432262783bac965DE2A3Fc1f8A67861f3,367186605406956360,367186605406956360
0xE45753eD1a27eC6964d5FEffC218846Af9da006d,366777416372641005,366777416372641005
0x7F12EF85603b1C48F2A0Af6c6A7dEc2cA89cA837,366645559592269162,366645559592269162
0x0f5bCfdA9Db62201b226DaF3DFa1e53F3b2de521,366566060070010787,366566060070010787
0xB80B5bF5d0bC8F7f2e409772335d1586FF79F1E6,366421379510351831,366421379510351831
0x40AD8239cEf96f823F5a6c551E841fdaB4685e45,366300000000000000,366300000000000000
0x7c45ee7b866420F690B7b9C617F16C22C19a2c00,366172468037992770,366172468037992770
0x9ba45F42Bb721D838E66d0E3fc2F7b6F3e6720a7,366146896517594437,366146896517594437
0x533eD202FD5a4F01EcBF828c32ace6c59704D733,366107646398383887,366107646398383887
0xE15ba07F80C647Aa29D3c3AB61Ad2419646271F3,366028979986183671,366028979986183671
0x37CE4417D365bABa75dF6493940f974f70d17863,365110582764771139,365110582764771139
0x599D9575a64b1c8cdB4b0316a154ca66dCf755Ca,365108059200000000,365108059200000000
0x77b966A02FaDD093Fea1c57b51eADE826caA5cCd,364760111094209235,364760111094209235
0xf529707A1b8dBc41a1aE1C799b1F5fc48280F065,363936463212813250,363936463212813250
0x381aAede3EcE39BD72287e666eBa8822151D43Af,363833498352522442,363833498352522442
0xA2b430fFfA485250ddd20A81B609f507728B4ccF,363737505975102904,363737505975102904
0x17eC01849F386a1E0c8e5a48af539d5625165871,362729785597932602,362729785597932602
0xb6522f9cB33C8b8aC3b954BBAfFbbc3A6b39Fd8E,362622577797721663,362622577797721663
