address,votingPower,tokensOwned
0x934E59B48641121f07BE1c3A75B2dc129864A7B5,50000000000000000,50000000000000000
0xAc57C093c9e914e338cfA75e2803c0bA6f324426,50000000000000000,50000000000000000
0xA5A05d1096F64e4ef42a8B55993abA30F345566d,50000000000000000,50000000000000000
0x9dA620Eaf91aeBFFabe641C56a676E0122244756,50000000000000000,50000000000000000
0xbb425417572f615D2Ad1f63b2b88F8dE26E7f999,50000000000000000,50000000000000000
0xB28EaC97F19C467517eC4ED8839FA4b515a7C102,50000000000000000,50000000000000000
0x9547A960641Fb6B828377b0C99164347A001D2b0,50000000000000000,50000000000000000
0xA139e3364225659Fe0681769C99578f5B6adc018,50000000000000000,50000000000000000
0xBfd5493B94EaD64D3DCadA5700dbEe9409ACc345,50000000000000000,50000000000000000
0xA0B5D51AF1119885Bb4Fbda371C0ebc3d8218A1d,50000000000000000,50000000000000000
0xa2D8D1A0E84794Fe734A1E64F0DD5CE950A5AFB4,50000000000000000,50000000000000000
0xa82C53A7CCd6fE854599238DA2adc30C74491616,50000000000000000,50000000000000000
0xAdfeeeaf5DCb76E28d4137706D92Fa4a76d8a0a5,50000000000000000,50000000000000000
0x83422eaf14Ff8F0eCF48B13b0025897771bB7c45,50000000000000000,50000000000000000
0x9f2738d4eD094aA1158BFeF57C2FFC979547d4AD,50000000000000000,50000000000000000
0xBa2E796d21a659205D83732Db89a40bCF1532243,50000000000000000,50000000000000000
0xAe347F801E97Da64E8B1F06d106426856c990d4D,50000000000000000,50000000000000000
0xA00c97579A776Fe5040ffE6b2012c83A03c2367E,50000000000000000,50000000000000000
0xA2922508Ac91E1d6B2619Bad1240E86e9c9B9F51,50000000000000000,50000000000000000
0x896fDa2c0B897C0d899d8f1ABC8035D0cF6bf24C,50000000000000000,50000000000000000
0xB9F90aEA17E59E682fCB5167fb7da6f0Fd9D2632,50000000000000000,50000000000000000
0xBe3973cC32C56e53b1D200A15B45683fE647E763,50000000000000000,50000000000000000
0x9A704bf7FAC89ed4548b9E0CA3F9D3Be15C5421f,50000000000000000,50000000000000000
0xA6483674b85D91268Ee1433Fe34f4e42574c45FE,50000000000000000,50000000000000000
0x9b681730A8Ae661d0f0cBb5b6375380f10b0beFd,50000000000000000,50000000000000000
0x8aa8FA0FE126e215186Ac9bA2126EA79E525c3b6,50000000000000000,50000000000000000
0x9A86848974352d6E317E6D7469a82f384208245f,50000000000000000,50000000000000000
0x8d6EA70c36A7F5cA947Adf954D6e261AB313430f,50000000000000000,50000000000000000
0xbd69e86943a3f51C2574BA2BCD9c63fF7B7ADf7b,50000000000000000,50000000000000000
0x9Af80d47a5D6E7dda509EdA31105F3E6c5Faaa6b,50000000000000000,50000000000000000
0xB9F61E7913F9c8dd4e88Bf320A58540835f3d087,50000000000000000,50000000000000000
0x231062d7dA5EBe9B41AaAF87deC369aA88886EeC,50000000000000000,50000000000000000
0x0867cC92f7984F69741c2abd17c3484f5208B33e,50000000000000000,50000000000000000
0x01C67a837d8E493AD8910A3e937CeE51e875dcBD,50000000000000000,50000000000000000
0x2ea72744b31a47464574bBFfAC1fD90093ec9813,50000000000000000,50000000000000000
0x361E2d4342cEF5494F3a214946679de15Aabe86F,50000000000000000,50000000000000000
0x3A763288386F13560BBA5f352188205064cA2AF1,50000000000000000,50000000000000000
0x3df7E92Fb7116302dB7C45Af6CdbDE0B4D630DE9,50000000000000000,50000000000000000
0x3a0034932cf83D5c13e026F4245B734a9A15BDa4,50000000000000000,50000000000000000
0x11951fD48Ec8F4B5a132c8fAf7a6EAB2ff5dac1B,50000000000000000,50000000000000000
0x300D5DEb80E8c680507Eef880ca76cbA67485961,50000000000000000,50000000000000000
0x3aD863219fCaC33f9F7fcd891226580f73484c09,50000000000000000,50000000000000000
0x0BcEF7708696C3ab8cDCe37Bef6a86551fF4eBfe,50000000000000000,50000000000000000
0x136186E5C2045f0897D89e79720eeD2a223fc301,50000000000000000,50000000000000000
0x1dd8ad0C067622932d7612599f5e440Ed7A7D847,50000000000000000,50000000000000000
0x047c86dEf7c08254d2660F4bdd297333714C75A8,50000000000000000,50000000000000000
0x1e2bBc8Bcd8C285C586522956FF1c6D8922ED051,50000000000000000,50000000000000000
0x3a64f2F951c6455B65a3fd02Ec235f14818aCD78,50000000000000000,50000000000000000
