address,votingPower,tokensOwned
0xeaE98E98CeA0577Cf78e2Efce00B3Faa9444130C,31851176822719715152,31851176822719715152
0xdc790A816c8F2D5CCFEa259e4a26b01b85B3F1be,31800000000000000000,31800000000000000000
0x15862c45607D8257F2a31EcAa1c20Fa24Ff4f4af,31800000000000000000,31800000000000000000
0x700480BbCb3c24C36D1E6Ebc7785481BcA3bB9A2,31750000000000000000,31750000000000000000
0xb9862B62B16744Fc4fAA3b7862dABaDa33293425,31687974170000000000,31687974170000000000
0x31c057c29bC22208FC583810E63611Af4c0FEF6C,31590000000000000000,31590000000000000000
0x84649973923f8d3565E8520171618588508983aF,31460937840000000000,31460937840000000000
0xE4b217F63fA4b9b10C87d2eae0D4a1065c6549a7,31372808264158996934,31372808264158996934
0xE02B8380DD7686B5cd65259279cC59b0C3c03817,31300000000000000000,31300000000000000000
0x73db5bf2db042535ccc588865d7bfB0B38004349,31280000000000000000,31280000000000000000
0xE2a09FB8a8A868ABedDD6E787d0c5e35EFaD1487,31130000000000000000,31130000000000000000
0x0CC2aFb39c79f232Aa9f670A4414A8b59cafd68C,31100000000000000000,31100000000000000000
0x372cC4514608099Dd6dA2aC4ab72D037B109E8eC,31020052776574954768,31020052776574954768
0x878aAc6EEaF3e3207d11723B820D6eB1105fA892,31000000000000000000,31000000000000000000
0xaAAA3C57A787a6951343A38665f6d6312043F8fC,30986875580511511961,30986875580511511961
0x52CFFe3870A71d98F1544da5E0499455dAD69BE8,30984433387599335000,30984433387599335000
0x4DE5F095356E2Ac01a105BE36da3A4a145Fe9917,30938000000000000000,30938000000000000000
0x52432473144056FE91Aeae9240aD21e6B8213440,30906572270380292602,30906572270380292602
0x4429f8362093602aD2c3697e901A9f0EeB1cF036,30900000000000000000,30900000000000000000
0xbfc9ca1c434ab19E5F75ACd2d603dc0621ef64E2,30842622366258222700,30842622366258222700
0x9d85A4508e9d0F913907e48F81824B11372085C5,30770000000000000000,30770000000000000000
0x035Bed93BB77A262AF1B2534bD3Fa6C205185830,30705490539353443843,30705490539353443843
0xD4689fcB416E400a3FE716C24E74585b27e41339,30700000000000000000,30700000000000000000
0xed81C4CA1def006A08B34833EF4B5D635c3ad6Bd,30690000000000000000,30690000000000000000
0x1831570E2145CE1048EB566EDb9612eC867AA736,30625091427335584087,30625091427335584087
0xE00B51c55d3136Ac7AaEd82b9c7ac3D326b92549,30495000000000000000,30495000000000000000
0xd362B09cd57C6668C765279F7fE9A8F519615dA4,30483000000000000000,30483000000000000000
0xc838ae24b6b90195D2f72069CeE4EDf09B4C9E0F,30478794555779462431,30478794555779462431
0xc3B771b376a1a0BDb87A4AEACe5BbD2ca6E3D5f1,30450000000000000000,30450000000000000000
0x53144384f3425c985ca395fC4474819274252B54,30443810953342410125,30443810953342410125
0x5bf9e6f29F062d749CE1cb2Af35b959Ce577D5db,30417659017496926558,30417659017496926558
0xb791419DE6690BD81300711849f3209d0497BA75,30400000000000000000,30400000000000000000
0xA68749a50cD6c4aF8731C39fEab07b1874a06781,30370000000000000000,30370000000000000000
0xFD8292f29c1406ECf70DF3152A1cAE4755068eE1,30363000000000000000,30363000000000000000
0x3DeC3c07d209914f3CC13c7492Ac12E559C9DD7F,30306559435953168760,30306559435953168760
0xf7c6a011CCB9274876c1787e7bdA7Db3de4A2d1f,30284523783186564840,30284523783186564840
0x21b38ce8f71DC083518EdDa2C0D8494c8fc88812,30277668080000000000,30277668080000000000
0xadc43075f2e45dAf2dfA5230fac6Ba6aF6283bde,30230278540803202580,30230278540803202580
0x4e45ca4e00e1b735d6479D343a0cD4b2637768CA,30229000000000000000,30229000000000000000
0x47024f4497083cC3825C8562bc9c94379A110D10,30209240000000000000,30209240000000000000
0x14f3c9b170731e16024a3f7Df054Ae9392880082,30200000000000000000,30200000000000000000
0xc22f1a68d9f91800cc32234fe62f3edBD26e0E2A,30198000000000000000,30198000000000000000
0xEA12F480393446c8c2FA444A13579E1D94673A8c,30138341018453460335,30138341018453460335
0xD24bC2f46DA8b12f0D25B117266220A84cA691B5,30113104700261232279,30113104700261232279
0x627B7D1cc004878429f2d9cdE7D6E6d3B2C32909,30099315846346022583,30099315846346022583
0xAA5259Bc554d0c4CDB776bCf3705EEe541BbA6D4,30094000000000000000,30094000000000000000
0x5E20FB63f3d33DdB2f9c71063F71f962496c567d,30087014910277726515,30087014910277726515
0x1e51745BdB4436563097833Ba83DCC51109d9FA8,30053622109950720089,30053622109950720089
0x6DAcb10513f08509502AEa7b6B01d2ddF3339554,30039000000000000000,30039000000000000000
0xF65F1EC6a0133E8fce4f54b1dA8eA7f0Cdf7511E,30033995024094512221,30033995024094512221
0xd88f8e62C6a0A193d9f920c04b3a7c778eF32381,30000000000000000000,30000000000000000000
0x4602eAfFFCEC8103E7890d8AC6aeE26f4a80E616,30000000000000000000,30000000000000000000
0x4680794c6d66ae0bE94cBF0d18a998743c09237e,30000000000000000000,30000000000000000000
0x7201e08A55b9b3671c97A1C1731eE61d6cf1C35C,30000000000000000000,30000000000000000000
0x76e10dC545152cE445a3023eaE105C5966FaD41a,30000000000000000000,30000000000000000000
0x33857520bB8D8c3B20d01CE5F470E2600bBf82e7,30000000000000000000,30000000000000000000
0xa55F48746c11Db24C749176e191CE69DAFA15B8c,30000000000000000000,30000000000000000000
