address,votingPower,tokensOwned
0x940e4666DC9e643a3732865F4634B8502745a239,471647177225728930,471647177225728930
0x11032344cab19f793E0a0C438F0CE6E198DeeFf9,471385205450432192,471385205450432192
0xe8586909E53104A8daDEf6d49fFA385A083CeDeF,470445978213832909,470445978213832909
0xa06188D5310B43C50851AD2eEaF32C23fC620205,470009316508508669,470009316508508669
0xE26FC8680A4aCE434893BD70dcAF14eda7f361f7,470000000000000000,470000000000000000
0xcdAE912370E169298b6Aee8Ff2ADe036b60956C0,470000000000000000,470000000000000000
0xf71a19d90D1CD18242381CaA05a470fCBB56A9a1,470000000000000000,470000000000000000
0x29C173B78d72d96Cab64869F4C5b10c07668798c,470000000000000000,470000000000000000
0x5141a72130Dddf729a5C9E86b780A3c03Fa8F549,469958218507124871,469958218507124871
0xACA56F856189F18D7F04912E2b71ed957E69F162,469334066174339650,469334066174339650
0x9972B6673906EdF4046fD5c7Edb6713BC7Da03b4,469199399946423518,469199399946423518
0x7b61B41630157c27416D70b4c6C44C658BaA2F43,469039344917601000,469039344917601000
0xe790838395810D9d9c8D5102E6FD05127E655DE7,468734883872222340,468734883872222340
0x8468Fb544260fDb2c57991BD66a9c46E84dF869b,468656602419710589,468656602419710589
0x2470450f4Bc0468D2878aD489497CC8E75FA6c57,468561442425386200,468561442425386200
0x77777777174870c5067E39dFf228d2DB44f52B6a,468217450071858500,468217450071858500
0x74264aA892C5C4B596b91F961B1387f94ef3d5a1,468108605296730380,468108605296730380
0xD12deFB3279003A6656023135eDC975eD4d918b4,467685391575599395,467685391575599395
0xb696623b744A4CF33E23fF142642ddA46E1A8Dd1,467346342125740700,467346342125740700
0xaa13905714dc09E1c51926869dDF2F3F2f1f3133,467099573250688107,467099573250688107
0x6beB440453226d3E1775103Ef5ed02d83b95EaF7,466877563169565112,466877563169565112
0xf5cD1be365771fbAFB1f01d9f9B10E549d934689,466768702768067648,466768702768067648
0x0057d39E9A154FcA84892721bc34c46689F810Fd,466501921841694415,466501921841694415
0xF146cD1b66Fa5dA8736858486AD8c57a03282ec8,466445342333662014,466445342333662014
0x311597a2C0b25e4775D16c36aa6e6f790Ec1DcB2,466300000000000000,466300000000000000
0x77c2ba5c8e4D7dCe5845c2c20BD47A6Db53001ED,466300000000000000,466300000000000000
0xb9AAd7fb7D0854a4bD55Cca2c8c606fDA499f7B9,466211879738044984,466211879738044984
0x4BC240cC40af76C31157aB5D97F6B8Be620EcA37,466172292943945600,466172292943945600
0x4feCcE1Be339Db44A4FD36F2FEF18C6401AC2f8b,466053092864043900,466053092864043900
0xcfFA5642CBCb9829b57341A23a1b0e2968c0A1F9,466000000000000000,466000000000000000
0xE514C34C255e83F58b03bbA8682D12901bd6f60e,465989414813085993,465989414813085993
0x127a2CD3408872dE004e65F87CB36Dc1604944A9,465888760000000000,465888760000000000
0x0aF0b30F1E178c68641e81b2EA78380DE6DD8e16,465429241819582029,465429241819582029
0x708C7828A525379799911267F4Ca212047AdEB71,465426660595396400,465426660595396400
0x2f652a59D11fA80D8933701150c6D46D2C130D01,465144269412442581,465144269412442581
0xf5184403062dc04B05F1a458F5518fb138c4ea7B,464695011337911289,464695011337911289
