address,votingPower,tokensOwned
0x2Ba0E05916A38AaE4B52fC09E5237144f08530c7,2150000000000000000,2150000000000000000
0x6af8Af74629b18e8d24F85D95005e9bc3a2e2DaB,2149739065372768031,2149739065372768031
0xDe0483877e20565206FF7C7785796b7c2Db44619,2147819126404212889,2147819126404212889
0x73428EC1C479C0f7c8113Ec3D2829139C5273607,2147688351581944800,2147688351581944800
0xA8bB2e8898192852a08e52f504aee6E1378D4151,2145717443753928752,2145717443753928752
0x60d0716f77D888A47413B840713BE9443365f40c,2145382316478430503,2145382316478430503
0xb80aCcBAc3C21A8cd95b59315D601Ec0A2C65435,2144240117682086038,2144240117682086038
0x10a0d1dd8Cc6a0dd8c631220136626afEffdD85d,2142233917601626283,2142233917601626283
0xf885032232683850aF5129287386635CADeD3746,2142132493950680647,2142132493950680647
0x3Ba50e14696B301D556C56EB01894b4F0CE42492,2141396028721728248,2141396028721728248
0x0f6b1223b962335092fa756f53C0F264386E2A26,2140000000000000000,2140000000000000000
0x36f15d0B9Cd1a1488cde7b5df3148BD3d16cBd62,2140000000000000000,2140000000000000000
0x0338b5A5f2055b4A35696012D49d22Fdd6DE78af,2140000000000000000,2140000000000000000
0x603B96e4f5C3319FBC37B16eD86A3414571bcdca,2140000000000000000,2140000000000000000
0x40c1F5ad96da1bce5D50Df974b86aa49FC713434,2139482475032621842,2139482475032621842
0x3d0707F9cB38e7AF5f6EEc544F9B542C5d85bAB7,2138000000000000000,2138000000000000000
0x7E52082fd8ca9025E7E2C4Da3fc7C4FeF9Fd9706,2137989019336050284,2137989019336050284
0x951b843185fd7C3C6D5B4Cd214c2f471674BE2D3,2137288299593256700,2137288299593256700
0x5037b297Fbd1C773926Bf8b9018dfAcBEcf4C472,2135060031562562138,2135060031562562138
0x2126D723eCb1703d51caF3906355f802BbF2989D,2135057738312872931,2135057738312872931
0x413acB0856ad714FA4A3aDde2aA0bBFaC3680A69,2134552544515440565,2134552544515440565
