address,votingPower,tokensOwned
0xbBD45781AC12E6aB352D09d0b78EBC2fF8f9d2bd,5400000000000000000,5400000000000000000
0x6bc7BEA2fc41c0DF284a02c9Bd108A3a45B260Ad,5391591941823111211,5391591941823111211
0x14A52285b216eE6562e717f21A01e056fd16C676,5390000000000000000,5390000000000000000
0x262ccd7294A03E3caC8c8e5B1a4402bc898A5D01,5387057638140003254,5387057638140003254
0xb6E8553d04a9151c41b4cA4bdE148DdC29CB4d9B,5374223783340142715,5374223783340142715
0x4d063362C8f2954389b3E6962cDe426560845ef4,5362656541836342841,5362656541836342841
0x2c01d9459248ac3D96E69C208d8DAAf196B6B0dC,5345558134577669355,5345558134577669355
0xC27cb690465F0B79267ff5F93a2c7C1C61F9674c,5327009959045120028,5327009959045120028
0x01a1d2750B2c7aad954698c1E9596F5CcaBdd265,5326355859066642000,5326355859066642000
0x1D59C8e80c8F023D3F005F498e14A3229863b177,5325848000000000000,5325848000000000000
0x9Adfd762D997bd382028A579Bb68bDD49d97493c,5322404016650071537,5322404016650071537
0x8b85F2ED950c15a1470bD6706f2ce3469E028089,5320000000000000000,5320000000000000000
0x274Fc04A6A4C6504F692b94bdb089C7ab2106dFD,5320000000000000000,5320000000000000000
0x1f9f2CEa24F8aBF8c6f1a159989f39a0624a7cd9,5300000000000000000,5300000000000000000
0x31aDF32045ACa7dCEB8dbA67a3Fe7c8d3cf9c703,5300000000000000000,5300000000000000000
0xa76163eD21AB15bbC95F1c2E3125494937EDe32e,5300000000000000000,5300000000000000000
0x498120F8848A0b87bDd7C8Ca3268577D01281cB6,5300000000000000000,5300000000000000000
0x7Ea9b8ba0d889Ba42458f657Ed27244AD593dfe7,5282852795496495390,5282852795496495390
0x8aafA2a2405929537a0c71AFc765e66d4AF2D7E9,5271195395578662399,5271195395578662399
0x01e8a979e7C5A1bB5C7aF02A5f11263D0af4C19e,5265198566039450069,5265198566039450069
0x70a913620fEE00f6120FDaBABf5d65291fcE8899,5261942410977394514,5261942410977394514
0x3eF87C7Cb77bA0d086F17Fe5427382711746A612,5252186185932926627,5252186185932926627
0x8F4ddc64e7b0cB5C176cBca1de6b38BfB629782d,5246313689470929256,5246313689470929256
0xB1D63E2c508334852e548cb9d385B64632764b08,5243086518361823816,5243086518361823816
0xac94bb3C8A8816bad4A2e0224818D362248Af7C4,5243005494764790923,5243005494764790923
0x885c25d56620088363a8C60B023fdbD5bd902eeC,5242940677240047658,5242940677240047658
0x4069d0b7a28273e3B10701bf375A01368244F5EF,5242463960000000000,5242463960000000000
0x72bc5f4CbFBdC6186f5a1aF8850d98A12376a6b2,5240000000000000000,5240000000000000000
0x488bbe3dc5aa9fcBC3cBe2eA38A8dBed8e00e41A,5223847025030999508,5223847025030999508
0xfe253Ac7e42900D1ae4195a1147F2dB5CEAbB0BB,5219286580516286729,5219286580516286729
0xeB01CfE58e813fB7FaDD38E54872c463c0a197D6,5217984417318366297,5217984417318366297
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,5214520210124306200,5214520210124306200
0xBbe664fc12eF3c317ed190b7E99b363B545AfC7b,5213000000000000000,5213000000000000000
0x65869A8d1327d385BAD56e156310d249616E58c7,5209725849534400220,5209725849534400220
0x11bcA896373747B0A8Cb84F5a0F230bf6fE6a747,5204845274741701585,5204845274741701585
0xEF401f073C731ED6c32c0EB971686482db58410d,5201358021413200000,5201358021413200000
0xf8817081EE71a40568335625DEA96F36Fbdcf60c,5200000000000000000,5200000000000000000
0x66bE448D5AF15C2EBa8f29BBEeE41A8Cbd09e02E,5200000000000000000,5200000000000000000
0x4C77De2EbfEc748B948B2A2a2b4ABA5083af3339,5200000000000000000,5200000000000000000
0x139996F03378E1a6b5dECF2c58b20926E75B7ac4,5200000000000000000,5200000000000000000
0x10518D334CCc74a9343adE3D49B74aeE6777c349,5200000000000000000,5200000000000000000
0x36e48e548C8ed0aE685bCba3Ca37640870FC9ed1,5200000000000000000,5200000000000000000
0xF479778e1fCb81cCCdFA57278BD8f9dC11519A58,5199033267743883192,5199033267743883192
0x16c2312b7168F0E268751A4d5D73953176D87768,5193099429690840041,5193099429690840041
0x4bEB50339c64f5901aEb99EbF973c0342964F98B,5182529286796509372,5182529286796509372
0x8fA3232FF0a45De66F1810096189A0f6f4ea8724,5182391898088986600,5182391898088986600
0x7F6720Bf2494543D4915907DFAB178C59CBC556d,5174539127147390621,5174539127147390621
0xF11cbE536124e17E37dB0CaA506a52457276F6bc,5173561734209807238,5173561734209807238
0xD7E704F0Cd5a458DD03022d0Cd83A6116272EfaA,5171784000000000000,5171784000000000000
0x631ab8EB40588543dF900263F864b6376d56A587,5168157617599412350,5168157617599412350
0xedaf58a4a3Ee38B3Ea6B4462278555fbabc6B361,5164578353325796512,5164578353325796512
0x2f1a0FcC99785f98e5a522d598271eFA294Bd6E2,5162217915316397979,5162217915316397979
0x2165362a584d437fdD1f44108298fFb6AE0A4e5a,5161905242867762387,5161905242867762387
0x9F6D2d4126C10d34b621b80ecc089c557892f6f1,5160000000000000000,5160000000000000000
0xF8df999f88Fd5691c961FeEB5b359B06e6A21b74,5160000000000000000,5160000000000000000
0xd972b276c682929e01E0Be95F9328CB56F3a31Fa,5159832355946733700,5159832355946733700
0x2282784073E319D9625E9629FD23d6D31B856728,5158253381992733511,5158253381992733511
0x80eee448Cff5fa38947Ed56E8f4a157eCa4d9B78,5156503093052526268,5156503093052526268
0x786694B02F1d331Be540e727f1F2a697C45b57E4,5156249335150419716,5156249335150419716
0x98F5505f8e96F65338e8Ac1022001C2DE1DE93d7,5155721990000000000,5155721990000000000
0x696D181A7961EE66C42f1EBeDDc0B48B106C45ad,5155381574843885613,5155381574843885613
0x07F2A8C405e643D0c97c382911a1097060f14FFb,5150000000000000000,5150000000000000000
0xcc1FfC986492805C579D9063E7E016513bA931E1,5147000000000000000,5147000000000000000
0x56a15Da94f04300Ec66bF21F102b17CFdfc24940,5146627021322029000,5146627021322029000
0x2d79559842b125Ff98ED640A031E50e2d5061e9E,5146322531847315590,5146322531847315590
0x0E7C428B83C5812A11Dd74F323CaA99E368f52D9,5146101873663847976,5146101873663847976
0x4F19B7CFd455597942F6E09bD76046bdE875A8E7,5135978916605049000,5135978916605049000
0x6b3Ec092E682db0c9f427D1c2f8E2dfA4eaCdc2B,5135433000000000000,5135433000000000000
0x1aB7aA8d6daF52FABBe67247083197f205dC0739,5134532947347484202,5134532947347484202
0x484AdfdA2B22B76109087bFfFcB1D120F8e045A9,5130107783876355000,5130107783876355000
0xD1e95D1B1eFd0Eb23B1F1223b05D5a0130b2f032,5130000000000000000,5130000000000000000
0x9f4ad485D408Ec432Fb5aD166bfDF97f6fEe18f5,5128600000000000000,5128600000000000000
0x48a3580D5882d580ff52a4F7B4b82d3e2833bB88,5128131649916567718,5128131649916567718
0xd122048bab48932b6440Ac4884A2621f4135445a,5125987733209779053,5125987733209779053
0x9Be57b3cf2100aD996f598CBCFa19b0459427762,5123000000000000000,5123000000000000000
0xE225A08Dc654F80B551c515702f9dB647d4eb754,5120000000000000000,5120000000000000000
0x8Df56259ea3b5d8FC8f34a7606d53dDB901467b8,5119667518092619520,5119667518092619520
0xD5fcacd86BFFf724EE9B7432607B8d2b8bbCe715,5114230000000000000,5114230000000000000
0x649DAEdfF51AFacf816321eAf5bF8F8FDDA9F3E9,5114205785922687023,5114205785922687023
