address,delegator,date,voting_power
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0x177D...Eb09,2020-12-18,9000000.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,ebizoichikawa.eth,2022-10-12,16.21
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0xAa86...D31f,2021-03-08,11.61
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0x097e...530B,2021-05-04,3.79
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,chrisli.eth,2021-02-20,1.21
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,chrisli.eth,2021-02-20,1.21
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,pandoshi.eth,2022-10-04,1.09
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,duscp3w4ei.eth,2021-03-09,1.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,reserg86.eth,2023-04-01,1.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,nayahanmnm.eth,2023-04-01,0.49
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,imyourdaddy.eth,2021-02-20,0.26
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,Studiomrecords,2020-12-28,0.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0x7BD1...4b26,2020-12-21,0.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0x99ee...Abc4,2021-01-23,0.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0xFaF6...f4fa,2021-02-27,0.0
